city,state_abbr,state,county,lat,lng,building_count,city_description,metro,updated_at
"Albuquerque","NM","New Mexico","Sandoval",35.08037186,-106.62708282,35196,"If you're looking for commercial real estate for sale or lease in The Duke City, you've come to the right place. Albuquerque has the longest running climate and aviation program in the United States. Albuquerque is also a new hot spot for solar energy companies in recent years. The state of New Mexico offers the lowest effective tax rate for manufacturing operations in the United States which makes Albuquerque a very inviting place to open an office or business. Buy or rent the perfect commercial real estate space for you in Albuquerque, NM. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Albuquerque brokers and landlords that can meet your exact needs.","Albuquerque, NM","2020-04-16 17:54:13"
"Tampa","FL","Florida","Pinellas",27.98140907,-82.45114136,32937,"If you're looking for commercial real estate for sale or lease in The Big Guava, you've come to the right place. Tampa is well known for their Busch Gardens Theme Park, and if you're looking for a modern, yet old historical city, Tampa's Ybor City is the place for you. Port of Tampa Bay is the largest port in Florida, which makes Tampa a very inviting place to open an office or business. Buy or rent the perfect commercial real estate space for you in Tampa, FL. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Tampa brokers and landlords that can meet your exact needs.","Tampa-St. Petersburg-Clearwater, FL","2020-04-16 17:49:09"
"New Orleans","LA","Louisiana","Jefferson",29.95323753,-90.06900024,31270,"If you're looking for commercial real estate for sale or lease in The Big Easy, you've come to the right place. New Orleans is most famously known for their iconic Bourbon Street, their attraction towards software engineers and for being the number one ranked city for youngest entrepreneurs. With the amazing culture and the celebration of Mardi Gras, New Orleans is a very inviting place to open an office or business. Buy or rent the perfect commercial real estate space for you in New Orleans, LA. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with New Orleans brokers and landlords that can meet your exact needs.","New Orleans-Metairie, LA","2020-04-16 17:53:09"
"Corpus Christi","TX","Texas","Aransas",27.80208778,-97.39151764,31012,"","Corpus Christi, TX","0000-00-00 00:00:00"
"San Francisco","CA","California","San Francisco",37.76013184,-122.44125366,30219,"San Francisco's office market reflects a complex landscape shaped by remote work dynamics and evolving tenant needs. Vacancy rates remain elevated, hovering around 20 percent, largely due to a significant decline in demand for traditional office space. However, indicators of market health show signs of stabilization, with increased leasing activity in submarkets catering to tech and creative industries. Coworking spaces have emerged as a vital component, experiencing a resurgence as companies seek flexible solutions to accommodate hybrid work models. This trend offers small businesses an agile option, enabling them to scale without the financial burden of long term leases. For small businesses, it is crucial to consider location, amenities, and lease structures.","San Francisco-Oakland-Fremont, CA","2025-05-19 23:22:56"
"Miami","FL","Florida","Miami-Dade",25.77425194,-80.19026184,25066,"If you're looking for commercial real estate for sale or lease in the Gateway to the Americas, you've come to the right place. As the major center and leader in finance, commerce, culture, media, entertainment, the arts, and international trade in South Florida, this vibrant city of nearly 500,00 people. Miami has one of the largest concentrations of international banks in the United States, and is home to many large multinational companies. Dubbed the Cruise Capital of the World, PortMiami has the bustling cruise port with the highest traffic volume for cruise lines. Miami is a tourist hub for international visitors, ranking second in the country after New York City and has a vibrant scene for hospitality, retail, entertainment and other businesses who cater to visitors. Buy or rent the perfect commercial real estate space for you in Miami, Florida. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Miami brokers and landlords that can meet your exact needs.","Miami-Fort Lauderdale-West Palm Beach, FL","2020-03-24 03:18:36"
"Brooklyn","NY","New York","New York",40.67523575,-73.97104645,23436,"Brooklyn, NY, is a hotspot for creative and tech industries, with DUMBO, Williamsburg, and Industry City leading as trendy areas. Its diverse office spaces attract startups and established firms seeking vibrant, community-driven environments.","New York-Newark-Jersey City, NY-NJ","2024-03-05 16:31:38"
"Boise","ID","Idaho","Gem",43.59740448,-116.29972839,23310,"Boise Boise is both the capital and most populous city of Idaho. Located on the Boise River, Boise is the largest city between Salt Lake City, Utah and Portland, Oregon. It is the primary government, transportation, cultural and economic center of the Idaho/eastern Washington area. The city of Boise has around 206,000 residents, and the entire metropolitan area is home to around 600,000 inhabitants. Boise is home to the second largest concentration of ethnic Basques in the nation, behind Bakersfield, California. There are around 15,000 Basques in the city. Currently, Boise is one of the hottest cities for entrepreneurs, as well as one of the most secure places to live. Many large corporations are headquartered in Boise, including Albertsons LLC, WinCo Foods and Boise Cascade LLC. Boise is also home to many call centers and high tech companies. There are more than 20 call centers in the area, employing over 7,000 people. Office space in Boise: A number of small businesses have office space in Boise's downtown area in both high and low-rise buildings. Other great opportunities can be found throughout the city in loft, single-story and converted warehouse options. Agents in the area would be happy to show interested parties around to possible locations. Retail space in Boise : The Boise Town Square Mall is the largest mall in Idaho and is located in west Boise. Other restaurants and strip malls can be found on the west side, where retailers of all kinds can find space. Local, regional and national businesses have retail locations in Boise, and new businesses are always relocating to the area. Other great areas for smaller retailers include downtown, where there is a great nightlife with many great restaurants and shops; as well as the area known as Hyde Park, which is home to numerous smaller boutiques and caf&eacute;s. Industrial space in Boise : Logging has long been prominent in Boise, and now the high tech industry is making a name for itself as well. Many warehouse spaces can be found on the western side of town, where Hewlett Packard's printing division is located. Boise is home to many industrial business parks as well, where storage companies, distributors and manufacturers can find space that fits their needs. Companies searching for space in Boise also look in Meridian , Nampa , Eagle , Middleton and Caldwell .","Boise City, ID","0000-00-00 00:00:00"
"Sarasota","FL","Florida","Manatee",27.33824921,-82.52686310,22776,"Sarasota Sarasota is a city on the southwestern coast of Florida with around 55,000 residents. There are a number of smaller key islands right off the coast of Sarasota which are popular vacation destinations. Office space in Sarasota : Sarasota is a mid-size city with a wide variety of office space to offer, from high-rise to converted warehouse spaces. Many businesses enjoy living and working in Sarasota for the nice year-round weather, spectacular ocean views and strong sense of community. Available office space in Sarasota can be found listed for lease, sublease and purchase on Rofo.com. Retail space in Sarasota : The city of Sarasota is a popular tourist destination, and is home to many restaurants, bars, nightclubs and resorts. Local, regional and national retailers all have stores in the Sarasota area and space can be found downtown, or within one of many strip malls. Sarasota offers quick and easy permitting to get businesses up and running. Industrial space in Sarasota : Small, mid and large size warehouse spaces can be found throughout the Sarasota area and would be suitable for storage, distribution, manufacture or wholesale. Available spaces can be found listed on Rofo and local agents would be happy to show interested parties around to possible properties. Companies searching for space in Sarasota also look in Sarasota Springs , The Meadows , Bayshore Gardens , Bee Ridge and Bradenton .","North Port-Bradenton-Sarasota, FL","0000-00-00 00:00:00"
"Lexington","KY","Kentucky","Scott",37.90985489,-84.35925293,22488,"","Lexington-Fayette, KY","0000-00-00 00:00:00"
"Fort Worth","TX","Texas","Parker",32.75492096,-97.33033752,22260,"If you're looking for commercial real estate for sale or lease in The Cowtown City, you've come to the right place. Fort-Worth is known for being the center of the cattle ranching industry. The aerospace and aviation programs are extremely important to the overall development of these two programs nationwide. Texas has no income tax which makes Fort-Worth a very inviting place to open an office or business. Buy or rent the perfect commercial real estate space for you in Fort-Worth, TX . Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Fort-Worth brokers and landlords that can meet your exact needs.","Dallas-Fort Worth-Arlington, TX","2020-04-16 17:58:49"
"San Antonio","TX","Texas","Comal",29.42503738,-98.49372101,21318,"About San Antonio Commercial Real Estate: If you're looking for commercial real estate for sale or lease in The Alamo City, you've come to the right place. San Antonio is the most visited place in Texas with the Alamo being the most visited place there. The largest industries in San Antonio are healthcare and bioscience. With San Antonio being named the best place to live in Texas, it makes it a very inviting place to open an office or business. Buy or rent the perfect commercial real estate space for you in San Antonio, TX. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with San Antonio brokers and landlords that can meet your exact needs.","San Antonio-New Braunfels, TX","2020-03-30 18:41:28"
"Phoenix","AZ","Arizona","Mohave",33.44290161,-112.05574036,21124,"If you're looking for commercial real estate for sale or lease in the Valley of the Sun, you've come to the right place. As the capitol of Arizona and the 6 th largest city in the United States, Phoenix is vibrant and dynamic place to do business. Phoenix is home four Fortune 500 companies and diverse industries from retail to aerospace to high tech. The engine of the economy is small business. Phoenix boasts a rich cultural life, several professional sports teams and Arizona State University, one of the largest state universities in the U.S with over 72,000 students. As they say, ""Phoenix is hot"" and is a very inviting place to open an office or business. Buy or rent the perfect commercial real estate space for you in Phoenix, Arizona. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Phoenix brokers and landlords that can meet your exact needs.","Lake Havasu City-Kingman, AZ","2020-03-24 03:12:03"
"Pensacola","FL","Florida","Escambia",30.47341347,-87.21225739,21102,"","Pensacola-Ferry Pass-Brent, FL","0000-00-00 00:00:00"
"Cincinnati","OH","Ohio","Butler",39.09923172,-84.51748657,20085,"Cincinnati's commercial real estate market is currently experiencing a modest recovery in office leasing, with vacancy rates stabilizing around 16 percent. Recent trends indicate a growing preference for flexible workspace solutions, with coworking spaces expanding significantly, catering to both startups and established small businesses.","Cincinnati, OH-KY-IN","2025-03-13 01:02:45"
"Indianapolis","IN","Indiana","Hancock",39.76701736,-86.15625763,19836,"If you're looking for commercial real estate for sale or lease in The Crossroads of America, you've come to the right place. Indianapolis is a city that is known for the Nascar race, Indy 500, as well as being a leading producer of corn and wheat. The development growth has caused there to be a population growth which has boosted their economy, Indianapolis is a very inviting place to open an office or business. Buy or rent the perfect commercial real estate space for you in Indianapolis, IN. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Indianapolis brokers and landlords that can meet your exact needs.","Indianapolis-Carmel-Greenwood, IN","2020-04-16 17:54:58"
"Los Angeles","CA","California","Los Angeles",34.05218887,-118.24342346,19788,"The commercial real estate market in Los Angeles, California can be characterized by the following key trends and factors: Office Space: The Los Angeles office market experienced fluctuating demand due to the COVID-19 pandemic, with some businesses downsizing while others expanded. Class A office spaces in prime locations remained in demand, leading to relatively stable rental rates and varying vacancy rates across submarkets. Flexibility and Remote Work: Los Angeles, like other major cities, saw a shift in work patterns due to the pandemic. This led to an increased demand for flexible office spaces, coworking facilities, and shared offices that catered to businesses adopting remote and hybrid work models. Industrial and Warehouse: The industrial and warehouse market in Los Angeles was strong, driven by the growth of e-commerce, logistics, and distribution industries. Demand for well-located industrial properties close to transportation infrastructure led to low vacancy rates and increasing rental rates. Retail: The retail sector in Los Angeles faced challenges due to the rise of e-commerce and changing consumer preferences. However, retail spaces in prime locations, mixed-use developments, and those offering unique experiences continued to attract tenants and maintain stable rental rates.","Los Angeles-Long Beach-Anaheim, CA","2023-04-07 17:49:24"
"Knoxville","TN","Tennessee","Blount",35.96657181,-83.92437744,19626,"If you're looking for commercial real estate for sale or lease in The Marble City, you've come to the right place. Every year Knoxville's economy and employment rate grow, as well as their future job growth in the next 10 years which is higher than the nation's average. With the nightlife always igniting the city, Knoxville is a very inviting place to open an office or business. Buy or rent the perfect commercial real estate space for you in Knoxville, TN. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Knoxville brokers and landlords that can meet your exact needs.","Knoxville, TN","2020-04-16 17:51:59"
"Austin","TX","Texas","Hays",30.26873589,-97.74520874,19293,"Austin's office leasing market demonstrates a cautious recovery, with vacancy rates holding steady around 15 percent. This slight stabilization follows a period marked by heightened remote work trends and companies reevaluating their space needs. Market health indicators suggest a resilient demand for flexible workspaces, evidenced by a surge in coworking space offerings, which now account for nearly 20 percent of total office inventory in the region. For small businesses, the rise of coworking spaces presents an attractive option, accommodating diverse needs without the overhead of traditional leases. Moreover, strategic location choices in rapidly gentrifying neighborhoods can provide growth opportunities while fostering networking within the entrepreneurial ecosystem. As Austin's tech driven economy continues to flourish, small businesses are encouraged to leverage favorable lease terms and prioritize flexibility to adapt to evolving market conditions.","Austin-Round Rock-San Marcos, TX","2025-05-29 05:14:24"
"Augusta","GA","Georgia","Columbia",33.47853088,-81.97552490,18926,"If you're looking for commercial real estate for sale or lease in The Garden City, you've come to the right place. Georgia's second largest city is a regional center of medicine, biotechnology and cyber security. Companies with a major presence in Augusta include John Deere, Kellogg's, T-Mobile and Solo Cup Company to a name a few. Buy or rent the perfect commercial real estate space for you in Augusta, GA. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Augusta brokers and landlords that can meet your exact needs.","Augusta-Richmond County, GA-SC","2020-04-15 23:46:35"
"Baltimore","MD","Maryland","Allegany",39.29425430,-76.61427307,18830,"If you're looking for commercial real estate for sale or lease in the Charm City, you've come to the right place. Buy or rent the perfect commercial real estate space for you in Baltimore, MD. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Baltimore brokers and landlords that can meet your exact needs.","Cumberland, MD-WV","2020-04-16 18:01:35"
"Dayton","OH","Ohio","Miami",39.76244354,-84.20524597,18276,"About Dayton Commercial Real Estate: If you're looking for commercial real estate for sale or lease in The Birthplace of Aviation, you've come to the right place. Dayton is known for its dynamic and diversified economy. In recent decades, it has moved away from manufacturing and has developed into a center for insurance and legal fields as well as healthcare and government sectors. Famed for being the birthplace of aviation, Dayton is Ohio's hub for aerospace and aviation technology. One of Dayton's major revitalization initiatives is called Tech Town, designed to attract technology-based, entrepreneurial companies to revitalize the downtown area. Tech Town is home to the world's first RFID business incubator. Buy or rent the perfect commercial real estate space for you in Dayton, OH. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Dayton brokers and landlords that can meet your exact needs.","Dayton-Kettering-Beavercreek, OH","2020-04-06 17:35:45"
"Dallas","TX","Texas","Rockwall",32.78107834,-96.79711151,17560,"Dallas, TX, a key economic center, is vibrant with sectors like finance, tech, and energy. Key areas include Uptown, the Design District, and Plano's Legacy West, offering modern office spaces that cater to innovative firms and large corporations seeking a dynamic, growth-oriented environment.","Dallas-Fort Worth-Arlington, TX","2024-03-13 17:22:08"
"Sacramento","CA","California","Sacramento",38.57365799,-121.48714447,16216,"Sacramentos commercial real estate market is exhibiting signs of resilience, particularly in the office sector, where leasing activity has stabilized despite national economic uncertainties. Vacancy rates have slightly improved, currently hovering around 12, as companies reevaluate their space needs in a hybrid work environment. Health indicators such as increased absorption rates and a reduction in sublease space signal a return to stability. The growth of coworking spaces has played a pivotal role, catering to small businesses and startups seeking flexibility and costeffective solutions. These providers are expanding their footprints, allowing companies to scale without longterm commitments. Small businesses should consider prioritizing lease negotiations that accommodate flexible terms and explore emerging coworking options that offer essential amenities and networking potential. Overall, Sacramento presents a balanced landscape for small enterprises looking for office solutions tailored to modern work scenarios.","Sacramento-Roseville-Folsom, CA","2025-02-19 22:40:37"
"Minneapolis","MN","Minnesota","Dakota",44.97748184,-93.26435089,14860,"If you're looking for commercial real estate for sale or lease in the Mini Apple, you've come to the right place. Minneapolis is known for their distribution and manufacturing of medical products, food processing, electronics and machinery. There are great tourist attractions like Mall of America and the Minnehaha Falls which makes Minneapolis a very inviting place to open an office or business. Buy or rent the perfect commercial real estate space for you in Minneapolis, MN. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Minneapolis brokers and landlords that can meet your exact needs. Office space in Minneapolis: The city of Minneapolis offers high-rise, low-rise, converted warehouse, single-story and loft office spaces. Many companies have locations downtown, and there are plenty of office options within business parks throughout the city. Agents in the area would be happy to show interested parties around to available options. Retail space in Minneapolis: Minneapolis is a wonderful city with many attractions for residents and visitors alike. The city's park system has been called one of the best-maintained, best-financed and best-designed in the country. Minneapolis is also second only to New York City in live theater per capita. It is also the third-largest theater market in the U.S. after New York and Chicago. Retailers can find space throughout the metropolitan area that works for them, in strip malls, indoor and outdoor shopping centers, downtown and amongst other neighborhoods. Available space can be found listed for lease, sublease and purchase on Rofo.com. Industrial space in Minneapolis: As the primary business area between Chicago and Seattle, Minneapolis is a huge center for industry. There are many industrial business parks in the Twin City Metropolitan Area, where companies can find warehouses of all sizes with varying amounts of office space. Storage companies, distributors, manufacturers, wholesalers and production facilities all enjoy Minneapolis for its central location and easy transportation access. Companies searching for space in Minneapolis also look in St. Paul, Plymouth, Brooklyn Park, Coon Rapids, Edina, and Eagan.","Minneapolis-St. Paul-Bloomington, MN-WI","2020-04-16 18:04:48"
"Aurora","CO","Colorado","Denver",39.69668579,-104.80976868,14455,"Aurora's commercial real estate market exhibits a dynamic landscape in office leasing. The office vacancy rate has shown a modest decline, hovering around 12 percent, indicative of increasing demand amid a gradual economic recovery. This uptick is fueled by various market health indicators, including rising employment rates and enhanced business activity. Coworking spaces are gaining traction, appealing to both startups and established firms seeking flexible leasing options. This trend underscores a shift towards more collaborative, adaptable work environments, catering to diverse business needs.","Denver-Aurora-Centennial, CO","2025-05-29 05:12:14"
"Detroit","MI","Michigan","Wayne",42.33016586,-83.04591370,14244,"If you're looking for commercial real estate for sale or lease in The Motor City, you've come to the right place. Detroit is known for being the largest automobile industry in the 20th century and is also well known for being home to the Belle Isle. The people in Detroit are known for their hard work and grittiness through the highs and the lows which makes Detroit a very inviting place to open an office or business. Buy or rent the perfect commercial real estate space for you in Detroit, MI. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Detroit brokers and landlords that can meet your exact needs.","Detroit-Warren-Dearborn, MI","2020-04-13 18:56:33"
"Philadelphia","PA","Pennsylvania","Bucks",39.95163727,-75.16381073,14244,"If you're looking for commercial real estate for sale or lease in The City of Brotherly Love, you've come to the right place. Philadelphia is known for their Italian Market, which is the oldest and largest outdoor market. In Philly, there is a large emphasis on oil refining, manufacturing and higher education. With 14 fortune 500 companies, Philadelphia is a very inviting place to open an office or business. Buy or rent the perfect commercial real estate space for you in Philadelphia, PA. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Philadelphia brokers and landlords that can meet your exact needs.","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","2020-04-16 17:58:31"
"Springfield","MO","Missouri","Greene",37.19682693,-93.28706360,14078,"","Springfield, MO","0000-00-00 00:00:00"
"Grand Rapids","MI","Michigan","Ottawa",42.97047043,-85.66864777,14038,"Grand Rapids With around 195,000 residents, Grand Rapids is Michigan's second largest city. Once nicknamed the ""Furniture City"" for its high volume of furniture production, today Grand Rapids has expanded their economy to include automotive, health care and consumer goods manufacturing. Many major office furniture manufacturers are still headquartered in the area, including Steelcase, Haworth and Herman Miller. Located on the Grand River, Grand Rapids is about 30 miles from Lake Michigan. Office space in Grand Rapids : Grand Rapids has a wide variety of available office space, from high-rise options downtown, to converted warehouse spaces in office parks surrounding the city. No matter what type of office space you have in mind, it can be found in Grand Rapids. Local agents would be happy to show interested parties around to available properties, in both shared and private options. Retail space in Grand Rapids : The city of Grand Rapids offers a quick and efficient permitting process to help businesses get started. Great retail properties can be found for lease downtown, as well as throughout more suburban areas of the city. Restaurants, thrift stores, grocery marts, clothing shops and bookstores are among many great options for retailers looking to start a business in Grand Rapids. Available retail space can be found listed on Rofo.com. Industrial space in Grand Rapids : The Grand Rapids area is home to many industrial companies, mainly manufacturers and storage centers. Warehouse space of all sizes and with a variety of layouts can be found in Grand Rapids. A large city with a small sense of community, Grand Rapids is a great place to run a business. Companies searching for space in Grand Rapids also look in Wyoming , Kentwood , Grandville , and East Grand Rapids .","Grand Rapids-Wyoming-Kentwood, MI","0000-00-00 00:00:00"
"Bradenton","FL","Florida","Manatee",27.48818588,-82.57524872,13552,"About Bradenton Commercial Real Estate: If you're looking for commercial real estate for sale or lease in The Friendly City, you've come to the right place. Situated between Sarasota and Tampa, Bradenton is ideal as a community to live and work. Its highly skilled workforce, low cost of doing business and progressive business climate make it a favorable place to start or expand your business. Industries such as advanced manufacturing and the aerospace and aviation and defense industries find a home in Bradenton. Buy or rent the perfect commercial real estate space for you in Bradenton, Florida. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Bradenton brokers and landlords that can meet your exact needs.","North Port-Bradenton-Sarasota, FL","2020-04-06 17:27:29"
"Saint Petersburg","FL","Florida","Pinellas",27.76707077,-82.63845825,12938,"","Tampa-St. Petersburg-Clearwater, FL","0000-00-00 00:00:00"
"New Braunfels","TX","Texas","Comal",29.70336151,-98.12425232,12624,"","San Antonio-New Braunfels, TX","0000-00-00 00:00:00"
"Saint Paul","MN","Minnesota","Dakota",44.94463730,-93.10265350,12335,"","Minneapolis-St. Paul-Bloomington, MN-WI","0000-00-00 00:00:00"
"Omaha","NE","Nebraska","Washington",41.25975037,-95.94235992,11343,"","Omaha, NE-IA","0000-00-00 00:00:00"
"Chattanooga","TN","Tennessee","Hamilton",35.06364059,-85.25482178,11278,"","Chattanooga, TN-GA","0000-00-00 00:00:00"
