Representative candidates

Candidate generation only; live recommendation representative sets are unchanged.

| Market | Property | Municipality | Geography | Decision | Media |
| denver-aurora | 4600 s syracuse st | Denver | Denver Tech Center | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 4643 s ulster st | Denver | Denver Tech Center | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 7900 e union ave | Denver | Denver Tech Center | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 999 18th st | Denver | Central Business District | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| indianapolis | 4557 w bradbury ave | Indianapolis | Indianapolis Airport Logistics | STRONG_REPRESENTATIVE_CANDIDATE | RIGHTS_UNKNOWN |
| indianapolis | 7601 winton dr | Indianapolis | Park 100 / Northwest Indianapolis | STRONG_REPRESENTATIVE_CANDIDATE | RIGHTS_UNKNOWN |
| orlando | 618 e s st | Orlando | Downtown South Industrial candidate | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| sacramento | 1329 n market blvd | Sacramento | Northgate / North Market Industrial | STRONG_REPRESENTATIVE_CANDIDATE | RIGHTS_UNKNOWN |
| sacramento | 5711 florin perkins rd | Sacramento | Power Inn Industrial | STRONG_REPRESENTATIVE_CANDIDATE | RIGHTS_UNKNOWN |
| sacramento | 8583 elder creek rd | Sacramento | Power Inn Industrial | STRONG_REPRESENTATIVE_CANDIDATE | RIGHTS_UNKNOWN |
| san-francisco | 1 sansome st | San Francisco | Financial District | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 1045 mission st | San Francisco | Civic Center | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 1100 grant ave | San Francisco | Jackson Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 1100 van ness ave | San Francisco | Civic Center | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 1133 market st | San Francisco | Civic Center | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 1390 market st | San Francisco | Civic Center | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 155 post st | San Francisco | Union Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 1998 market st | San Francisco | Hayes Valley | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 2 embarcadero ctr | San Francisco | Jackson Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 201 mission st | San Francisco | Financial District | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 212 sutter st | San Francisco | Financial District | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 27 drumm st | San Francisco | Jackson Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 315 montgomery st | San Francisco | Financial District | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 320 turk st | San Francisco | Civic Center | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 325 kearny st | San Francisco | Financial District | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 33 drumm st | San Francisco | Jackson Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 333 kearny st | San Francisco | Financial District | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 345 taylor st | San Francisco | Union Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 369 turk st | San Francisco | Civic Center | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 39 grant ave | San Francisco | Union Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 415 mission st | San Francisco | Financial District | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 418 sutter st | San Francisco | Union Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 44 montgomery st | San Francisco | Financial District | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 441 powell st | San Francisco | Union Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 45 kearny st | San Francisco | Union Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 50 california st | San Francisco | Jackson Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 50 maiden ln | San Francisco | Union Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 505 montgomery st | San Francisco | Financial District | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 508 ellis st | San Francisco | Civic Center | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 545 folsom st | San Francisco | Financial District | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 555 fulton st | San Francisco | Hayes Valley | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 580 california st | San Francisco | Financial District | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 590 sutter st | San Francisco | Union Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 600 california st | San Francisco | Financial District | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 600 stockton st | San Francisco | Union Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 650 california st | San Francisco | Financial District | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 70 pier bldg 102 | San Francisco | Dogpatch | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 711 market st | San Francisco | Union Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 75 broadway | San Francisco | Jackson Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 795 folsom st | San Francisco | SoMa | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 841 jones st | San Francisco | Union Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 844 market st | San Francisco | Union Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | 924 sansome st | San Francisco | Jackson Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
