Future public candidates

No publication approval. Media remains separately gated and all historical media remains non-public unless rights are explicit.

| Market | Property | Municipality | Geography | Decision | Media |
| san-francisco | 212 sutter st | San Francisco | Financial District | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 27 drumm st | San Francisco | Jackson Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 315 montgomery st | San Francisco | Financial District | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 320 turk st | San Francisco | Civic Center | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 325 kearny st | San Francisco | Financial District | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 33 drumm st | San Francisco | Jackson Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 333 kearny st | San Francisco | Financial District | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 345 taylor st | San Francisco | Union Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 369 turk st | San Francisco | Civic Center | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 39 grant ave | San Francisco | Union Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 415 mission st | San Francisco | Financial District | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 418 sutter st | San Francisco | Union Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 44 montgomery st | San Francisco | Financial District | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 441 powell st | San Francisco | Union Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 45 kearny st | San Francisco | Union Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 50 california st | San Francisco | Jackson Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 50 maiden ln | San Francisco | Union Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 505 montgomery st | San Francisco | Financial District | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 508 ellis st | San Francisco | Civic Center | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 545 folsom st | San Francisco | Financial District | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 555 fulton st | San Francisco | Hayes Valley | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 580 california st | San Francisco | Financial District | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 590 sutter st | San Francisco | Union Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 600 california st | San Francisco | Financial District | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 600 stockton st | San Francisco | Union Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 650 california st | San Francisco | Financial District | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 70 pier bldg 102 | San Francisco | Dogpatch | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 711 market st | San Francisco | Union Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 75 broadway | San Francisco | Jackson Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 795 folsom st | San Francisco | SoMa | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 841 jones st | San Francisco | Union Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 844 market st | San Francisco | Union Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 924 sansome st | San Francisco | Jackson Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
