Geography-link review

All 64 v1 links were reassessed. Candidate/proximity-grade source relationships do not count as reviewed geography.

| Market | Property | Geography | Decision | Basis |
| san-francisco | 44 montgomery st | Financial District | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 441 powell st | Union Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 45 kearny st | Union Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 50 california st | Jackson Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 50 maiden ln | Union Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 505 montgomery st | Financial District | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 508 ellis st | Civic Center | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 545 folsom st | Financial District | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 555 fulton st | Hayes Valley | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 580 california st | Financial District | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 590 sutter st | Union Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 600 california st | Financial District | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 600 stockton st | Union Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 650 california st | Financial District | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 70 pier bldg 102 | Dogpatch | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 711 market st | Union Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 75 broadway | Jackson Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 795 folsom st | SoMa | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 841 jones st | Union Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 844 market st | Union Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 924 sansome st | Jackson Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
